feature,importance
color_feat_19,0.0802630989844811
color_feat_29,0.06638826374800004
edge_feat_3,0.05302474431884449
color_feat_28,0.03574937727302986
color_feat_6,0.03537252489554627
color_feat_26,0.033974408549330655
color_feat_11,0.03151896789801317
edge_feat_9,0.03136033870282407
color_feat_20,0.02781928753149949
color_feat_22,0.026376100841144744
color_feat_25,0.025745843409859536
edge_feat_5,0.023977857745402932
color_feat_17,0.023181974307964356
edge_feat_10,0.02261231177408278
edge_feat_0,0.0222915847571873
edge_feat_4,0.021566976700821475
color_feat_15,0.021216687834223633
color_feat_2,0.020612724989176226
color_feat_27,0.01950099101081134
color_feat_18,0.018918060416198822
color_feat_13,0.018902331633442387
texture_feat_11,0.01841373964019191
texture_feat_3,0.016700268329187293
edge_feat_1,0.01667947008466806
texture_feat_9,0.014643707754598485
texture_feat_2,0.014607289479626246
texture_feat_5,0.013848970748040382
edge_feat_6,0.01342752510048867
texture_feat_10,0.013353909137125298
color_feat_0,0.012873200828307478
texture_feat_4,0.011877923235869193
texture_feat_1,0.011802803031494702
color_feat_4,0.011091067790947165
color_feat_23,0.011013791000974955
color_feat_9,0.011003676336092155
color_feat_16,0.010934538723366806
color_feat_1,0.010680828365062914
color_feat_8,0.009625286011662671
color_feat_12,0.009505599087240853
color_feat_10,0.009392999479028339
color_feat_5,0.009083057742213232
color_feat_7,0.008857022651237043
edge_feat_11,0.008373118412556432
edge_feat_2,0.008194991984194783
color_feat_24,0.007803726129910737
texture_feat_8,0.007659114771798841
color_feat_21,0.007362669833658648
texture_feat_12,0.006844979415408951
texture_feat_6,0.0056699536726305825
color_feat_14,0.005294575003024212
edge_feat_8,0.0052680478131257955
edge_feat_7,0.004881182991967933
texture_feat_0,0.00472499019051901
color_feat_3,0.004620489908926134
texture_feat_7,0.0035110279929694626
texture_feat_13,0.0
